City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lompoc,34.6391,-120.4579,26.12,71,0,6.26,US,1696277413
83,kalmunai,7.4167,81.8167,25.25,87,98,6.08,LK,1696277413
84,puerto ayora,-0.7393,-90.3518,28.98,93,95,2.24,EC,1696277413
85,tura,25.5198,90.2201,23.46,97,100,2.5,IN,1696277313
86,gladstone,-23.85,151.25,20.96,73,100,3.09,AU,1696277413
87,garoowe,8.4054,48.4845,26.94,66,41,9.53,SO,1696277413
88,nishinoomote,30.7333,131.0,24.98,69,91,8.13,JP,1696277283
89,ulsteinvik,62.3432,5.8487,13.75,80,93,5.81,NO,1696277414
90,punta arenas,-53.15,-70.9167,9.06,61,100,4.63,CL,1696277244
91,walterboro,32.9052,-80.6668,28.92,44,0,3.09,US,1696277282
92,labytnangi,66.6572,66.4183,8.92,80,100,8.23,RU,1696277435
93,talcahuano,-36.7167,-73.1167,11.98,75,6,3.02,CL,1696277359
94,gunjur,13.2019,-16.7339,29.04,84,40,1.54,GM,1696277435
95,rio grande,-32.035,-52.0986,21.06,73,0,3.71,BR,1696277200
96,mount gambier,-37.8333,140.7667,12.13,82,83,3.54,AU,1696277274
97,nagqu,31.5,92.0,3.43,89,99,2.06,CN,1696277436
98,east end,34.5507,-92.341,33.41,36,5,2.87,US,1696277436
99,chagoda,59.164,35.3285,9.05,88,99,1.06,RU,1696277436
100,dudinka,69.4058,86.1778,-1.32,96,100,10.28,RU,1696277285
101,afaahiti,-17.75,-149.2833,24.93,87,73,7.22,PF,1696277436
102,bethel,41.3712,-73.414,25.36,58,0,4.63,US,1696277246
103,abqaiq,25.9371,49.6776,29.89,24,0,2.6,SA,1696277436
104,mexico,15.0646,120.7198,26.84,93,100,1.6,PH,1696277182
105,nago,26.5881,127.9761,27.47,95,100,5.61,JP,1696277436
106,hammerfest,70.6634,23.6821,2.25,75,75,1.03,NO,1696277322
107,ushuaia,-54.8,-68.3,5.18,81,100,3.46,AR,1696277300
108,sola,-13.8833,167.55,25.6,84,100,11.34,VU,1696277437
109,khovd,48.0056,91.6419,5.32,68,7,0.19,MN,1696277437
110,port alfred,-33.5906,26.891,16.77,90,0,0.45,ZA,1696277437
111,hungnam,39.8317,127.6186,15.31,55,100,2.2,KP,1696277360
112,st. john's,47.5649,-52.7093,15.08,84,20,2.06,CA,1696277192
113,san luis de la loma,17.2706,-100.8939,30.86,70,73,3.28,MX,1696277437
114,teguise,29.0605,-13.564,24.12,73,0,1.54,ES,1696277293
115,la'ie,21.6477,-157.9253,28.98,72,3,3.58,US,1696277437
116,lata,40.1629,-8.3327,20.51,86,0,1.31,PT,1696277437
117,tazovsky,67.4667,78.7,7.68,96,100,7.47,RU,1696277437
118,tolanaro,-25.0319,46.9987,18.31,78,100,4.49,MG,1696277437
119,kayangel,8.0823,134.7173,28.29,75,13,2.39,PW,1696277288
120,markaz-e hukumat-e darweshan,31.1323,64.1934,20.1,14,0,0.92,AF,1696277438
121,kudahuvadhoo,2.6708,72.8944,28.04,76,94,4.92,MV,1696277395
122,arar,30.9753,41.0381,26.01,27,0,2.57,SA,1696277438
123,longyearbyen,78.2186,15.6401,-3.09,74,75,8.75,SJ,1696277355
124,hithadhoo,-0.6,73.0833,27.8,74,35,5.43,MV,1696277317
125,lerwick,60.1545,-1.1494,12.0,83,4,9.02,GB,1696277438
126,neryungri,56.6709,124.6491,1.25,93,100,3.19,RU,1696277177
127,dakhla,23.6848,-15.958,22.41,76,0,7.22,EH,1696277438
128,balykshi,47.0667,51.8667,19.0,39,0,5.0,KZ,1696277438
129,coahuayana de hidalgo,18.7,-103.6583,31.99,69,65,3.0,MX,1696277438
130,sitka,57.0531,-135.33,11.94,82,100,4.12,US,1696277438
131,salinopolis,-0.6136,-47.3561,28.52,74,19,5.79,BR,1696277438
132,samarinda,-0.5,117.15,22.94,94,30,1.25,ID,1696277438
133,ilulissat,69.2167,-51.1,0.01,43,0,2.57,GL,1696277438
134,qaqortoq,60.7167,-46.0333,5.94,53,100,1.44,GL,1696277439
135,sisimiut,66.9395,-53.6735,2.51,68,82,1.17,GL,1696277176
136,kani keli,-12.9536,45.1033,25.59,79,0,5.86,YT,1696277439
137,banda aceh,5.5577,95.3222,26.32,84,100,5.98,ID,1696277439
138,leczyca,52.0596,19.1997,15.64,67,84,3.49,PL,1696277439
